event_id,event_class,reference_time,station,positive_channels,required_station_days,crosses_day_boundary,complete_positive_channels,missing_positive_channels,station_request_usable
levent-07906,deep_moonquake_assigned,1974-03-25T14:29:00,S12,MH1;MH2;MHZ,1974-084,0,MH1;MH2;MHZ,,1
levent-07906,deep_moonquake_assigned,1974-03-25T14:29:00,S14,MH1;MH2,1974-084,0,MH1;MH2,,1
levent-07906,deep_moonquake_assigned,1974-03-25T14:29:00,S15,MH1;MH2;MHZ,1974-084,0,MH1;MH2;MHZ,,1
levent-07906,deep_moonquake_assigned,1974-03-25T14:29:00,S16,MH1;MH2,1974-084,0,MH1;MH2,,1
levent-07907,natural_impact,1974-03-25T16:58:00,S12,MH1;MH2;MHZ,1974-084,0,MH1;MH2;MHZ,,1
levent-07907,natural_impact,1974-03-25T16:58:00,S14,MH1;MH2,1974-084,0,MH1;MH2,,1
levent-07907,natural_impact,1974-03-25T16:58:00,S15,MH1;MH2;MHZ,1974-084,0,MH1;MH2;MHZ,,1
levent-07907,natural_impact,1974-03-25T16:58:00,S16,MH1;MH2;MHZ,1974-084,0,MH1;MH2;MHZ,,1
levent-07909,deep_moonquake_assigned,1974-03-26T03:16:00,S12,MH2;MHZ,1974-085,0,MH2;MHZ,,1
levent-07909,deep_moonquake_assigned,1974-03-26T03:16:00,S14,MH1;MH2,1974-085,0,MH1;MH2,,1
levent-07909,deep_moonquake_assigned,1974-03-26T03:16:00,S15,MH1;MH2;MHZ,1974-085,0,MH1;MH2;MHZ,,1
levent-07909,deep_moonquake_assigned,1974-03-26T03:16:00,S16,MH1;MH2,1974-085,0,MH1;MH2,,1
levent-07922,deep_moonquake_assigned,1974-03-30T19:47:00,S12,MH1;MH2;MHZ,1974-089,0,MH1;MH2;MHZ,,1
levent-07922,deep_moonquake_assigned,1974-03-30T19:47:00,S14,MH1;MH2;SHZ,1974-089,0,MH1;MH2;SHZ,,1
levent-07922,deep_moonquake_assigned,1974-03-30T19:47:00,S15,MH1;MH2;MHZ,1974-089,0,MH1;MH2;MHZ,,1
levent-07922,deep_moonquake_assigned,1974-03-30T19:47:00,S16,MH1;MH2;MHZ,1974-089,0,MH1;MH2;MHZ,,1
levent-07934,natural_impact,1974-04-07T21:45:00,S14,MH1;MH2;SHZ,1974-097,0,MH1;MH2;SHZ,,1
levent-07935,natural_impact,1974-04-08T08:40:00,S12,MH1;MH2;MHZ,1974-098,0,MH1;MH2;MHZ,,1
